strategy,stages,optical_power_mw,total_loss_db,extinction_ratio_db,fanout,gain,gain_noise_db,temperature_c,threshold_cv,retention_hours,read_disturb_rate,write_error_rate,regeneration_interval,error_rate,q_factor,total_energy_pj,seed
passive,1,0.794328234724,1.000000,11.920000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.970000,13.400000,20260715
passive,2,0.63095734448,2.000000,11.840000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.850000,13.400000,20260715
passive,3,0.501187233627,3.000000,11.760000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0001,5.730000,13.400000,20260715
passive,4,0.398107170553,4.000000,11.680000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0001,5.610000,13.400000,20260715
passive,5,0.316227766017,5.000000,11.600000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0001,5.490000,13.400000,20260715
passive,6,0.251188643151,6.000000,11.520000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0003,5.370000,13.400000,20260715
passive,7,0.199526231497,7.000000,11.440000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.250000,13.400000,20260715
passive,8,0.158489319246,8.000000,11.360000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0002,5.130000,13.400000,20260715
passive,9,0.125892541179,9.000000,11.280000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0002,5.010000,13.400000,20260715
passive,10,0.1,10.000000,11.200000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,4.890000,13.400000,20260715
passive,11,0.0794328234724,11.000000,11.120000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0001,4.770000,13.400000,20260715
passive,12,0.063095734448,12.000000,11.040000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0001,4.650000,13.400000,20260715
passive,13,0.0501187233627,13.000000,10.960000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0002,4.530000,13.400000,20260715
passive,14,0.0398107170553,14.000000,10.880000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0001,4.410000,13.400000,20260715
passive,15,0.0316227766017,15.000000,10.800000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0001,4.290000,13.400000,20260715
passive,16,0.0251188643151,16.000000,10.720000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0001,4.170000,13.400000,20260715
passive,17,0.0199526231497,17.000000,10.640000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0004,4.050000,13.400000,20260715
passive,18,0.0158489319246,18.000000,10.560000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0001,3.930000,13.400000,20260715
passive,19,0.0125892541179,19.000000,10.480000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0004,3.810000,13.400000,20260715
passive,20,0.01,20.000000,10.400000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0005,3.690000,13.400000,20260715
passive,21,0.00794328234724,21.000000,10.320000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0002,3.570000,13.400000,20260715
passive,22,0.0063095734448,22.000000,10.240000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0003,3.450000,13.400000,20260715
passive,23,0.00501187233627,23.000000,10.160000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0008,3.330000,13.400000,20260715
passive,24,0.00398107170553,24.000000,10.080000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0009,3.210000,13.400000,20260715
passive,25,0.00316227766017,25.000000,10.000000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0009,3.090000,13.400000,20260715
passive,26,0.00251188643151,26.000000,9.920000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.002,2.970000,13.400000,20260715
passive,27,0.00199526231497,27.000000,9.840000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.002,2.850000,13.400000,20260715
passive,28,0.00158489319246,28.000000,9.760000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0044,2.730000,13.400000,20260715
passive,29,0.00125892541179,29.000000,9.680000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0032,2.610000,13.400000,20260715
passive,30,0.001,30.000000,9.600000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0057,2.490000,13.400000,20260715
passive,31,0.000794328234724,31.000000,9.520000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0099,2.370000,13.400000,20260715
passive,32,0.00063095734448,32.000000,9.440000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0141,2.250000,13.400000,20260715
passive,33,0.000501187233627,33.000000,9.360000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0154,2.130000,13.400000,20260715
passive,34,0.000398107170553,34.000000,9.280000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0222,2.010000,13.400000,20260715
passive,35,0.000316227766017,35.000000,9.200000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.029,1.890000,13.400000,20260715
passive,36,0.000251188643151,36.000000,9.120000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0385,1.770000,13.400000,20260715
passive,37,0.000199526231497,37.000000,9.040000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0492,1.650000,13.400000,20260715
passive,38,0.000158489319246,38.000000,8.960000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0625,1.530000,13.400000,20260715
passive,39,0.000125892541179,39.000000,8.880000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0777,1.410000,13.400000,20260715
passive,40,0.0001,40.000000,8.800000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0978,1.290000,13.400000,20260715
passive,41,7.94328234724e-05,41.000000,8.720000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.1266,1.170000,13.400000,20260715
passive,42,6.3095734448e-05,42.000000,8.640000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.1471,1.050000,13.400000,20260715
passive,43,5.01187233627e-05,43.000000,8.560000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.1764,0.930000,13.400000,20260715
passive,44,3.98107170553e-05,44.000000,8.480000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.2123,0.810000,13.400000,20260715
passive,45,3.16227766017e-05,45.000000,8.400000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.247,0.690000,13.400000,20260715
passive,46,2.51188643151e-05,46.000000,8.320000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.2883,0.570000,13.400000,20260715
passive,47,1.99526231497e-05,47.000000,8.240000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.332,0.450000,13.400000,20260715
passive,48,1.58489319246e-05,48.000000,8.160000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.3777,0.330000,13.400000,20260715
passive,49,1.25892541179e-05,49.000000,8.080000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.4232,0.210000,13.400000,20260715
passive,50,1e-05,50.000000,8.000000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.4729,0.090000,13.400000,20260715
passive,51,7.94328234724e-06,51.000000,7.920000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.5011,-0.030000,13.400000,20260715
passive,52,6.3095734448e-06,52.000000,7.840000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.5638,-0.150000,13.400000,20260715
passive,53,5.01187233627e-06,53.000000,7.760000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.6135,-0.270000,13.400000,20260715
passive,54,3.98107170553e-06,54.000000,7.680000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.6604,-0.390000,13.400000,20260715
passive,55,3.16227766017e-06,55.000000,7.600000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.6969,-0.510000,13.400000,20260715
passive,56,2.51188643151e-06,56.000000,7.520000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.74,-0.630000,13.400000,20260715
passive,57,1.99526231497e-06,57.000000,7.440000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.7875,-0.750000,13.400000,20260715
passive,58,1.58489319246e-06,58.000000,7.360000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.8069,-0.870000,13.400000,20260715
passive,59,1.25892541179e-06,59.000000,7.280000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.8471,-0.990000,13.400000,20260715
passive,60,1e-06,60.000000,7.200000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.8638,-1.110000,13.400000,20260715
passive,61,7.94328234724e-07,61.000000,7.120000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.8928,-1.230000,13.400000,20260715
passive,62,6.3095734448e-07,62.000000,7.040000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.9135,-1.350000,13.400000,20260715
passive,63,5.01187233627e-07,63.000000,6.960000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.9249,-1.470000,13.400000,20260715
passive,64,3.98107170553e-07,64.000000,6.880000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.9458,-1.590000,13.400000,20260715
each-stage,1,1,-0.000000,11.920000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.970000,14.900000,20260715
each-stage,2,1,-0.000000,11.920000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.970000,16.400000,20260715
each-stage,3,1,-0.000000,11.920000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0001,5.970000,17.900000,20260715
each-stage,4,1,-0.000000,11.920000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.970000,19.400000,20260715
each-stage,5,1,-0.000000,11.920000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.970000,20.900000,20260715
each-stage,6,1,-0.000000,11.920000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.970000,22.400000,20260715
each-stage,7,1,-0.000000,11.920000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.970000,23.900000,20260715
each-stage,8,1,-0.000000,11.920000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0001,5.970000,25.400000,20260715
each-stage,9,1,-0.000000,11.920000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0,5.970000,26.900000,20260715
each-stage,10,1,-0.000000,11.920000,1,4.000000,0.350000,25.000000,0.050000,2160.000000,1e-06,1e-05,4,0.0002,5.970000,28.400000,20260715
